taxonID,vernacularName,countryCode,language
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10045/","Bronze-Sultanshuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10046/","Azur-Sultanshuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10047/","Kleines Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10048/","Zwergsumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10049/","Tüpfelsumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10050/","Flußsumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10051/","Carolina-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10052/","Fleckensumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10053/","Wiesensumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10054/","Zimtsumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10055/","Mandarin-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10056/","Südsee-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10057/","Kosrae-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10058/","Henderson-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10059/","Moha-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10060/","Gelbbrust-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10061/","Weißbrauen-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10062/","Laysan-Sumpfhuhn","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10063/","Kastanienralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10064/","Strichelralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10065/","Nymphenralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10066/","Zyklopenralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10067/","Dreifarbenralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10068/","Andamanen-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10069/","Malaien-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10070/","Hindu-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10071/","Klapperralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10072/","Königsralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10073/","Wetmore-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10074/","Virginia-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10075/","Bogota-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10076/","Magellan-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10077/","Wasserralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10078/","Kapralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10079/","Madagaskar-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10080/","Rouget-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10081/","Perlenralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10082/","Tropfenralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10083/","Rotbrustralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10084/","Ugalla-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10085/","Boehm-Ralle","de","de"
"http://services.snsb.info/DTNtaxonlists/rest/v0.1/names/DiversityTaxonNames_TaxaVaria/10086/","Streifenralle","de","de"
