,Category,Word,FirstLetter,Word.1,Freq
139,Beruf,Amateurschauspieler,A,,3.0
140,Beruf,Amateursportler,A,,3.0
141,Beruf,Amerikanist,A,,3.0
142,Beruf,Ammann,A,,53.0
143,Beruf,Amtsanwalt,A,,7.0
144,Beruf,Amtsbote,A,,1.0
145,Beruf,Amtsführung,A,,66.0
146,Beruf,Amtsgericht,A,,837.0
147,Beruf,Amtsgerichtsdirektor,A,,4.0
148,Beruf,Amtsgerichtsrat,A,,4.0
149,Beruf,Amtsgeschäft,A,,3.0
150,Beruf,Amtshauptmann,A,,11.0
151,Beruf,Amtshauptmannschaft,A,,7.0
152,Beruf,Amtsinhaber,A,,260.0
153,Beruf,Amtsinhaberin,A,,31.0
154,Beruf,Amtsjugendwart,A,,1.0
155,Beruf,Amtskollege,A,,43.0
156,Beruf,Amtsleiter,A,,60.0
157,Beruf,Amtsleiterin,A,,15.0
158,Beruf,Amtsleitung,A,,14.0
159,Beruf,Amtsleute,A,,5.0
160,Beruf,Amtsmann,A,,4.0
161,Beruf,Amtsnachfolger,A,,11.0
162,Beruf,Amtsperson,A,,6.0
163,Beruf,Amtsrat,A,,5.0
164,Beruf,Amtsrichter,A,,20.0
165,Beruf,Amtsrichterin,A,,4.0
166,Beruf,Amtsschreiber,A,,4.0
167,Beruf,Amtstierarzt,A,,16.0
168,Beruf,Amtstierärztin,A,,10.0
169,Beruf,Amtsträger,A,,81.0
170,Beruf,Amtsvergehen,A,,1.0
171,Beruf,Amtsvorsteher,A,,20.0
172,Beruf,Analyst,A,,381.0
173,Beruf,Analystin,A,,44.0
174,Beruf,Analytiker,A,,28.0
175,Beruf,Analytikerin,A,,3.0
176,Beruf,Anatom,A,,8.0
177,Beruf,Anfänger,A,,471.0
178,Beruf,Anfängerin,A,,11.0
179,Beruf,Anfängerkurs,A,,15.0
180,Beruf,Anfängerkursus,A,,1.0
181,Beruf,Angestellte,A,,686.0
182,Beruf,Angestelltenverhältnis,A,,48.0
183,Beruf,Angestelltenversicherung,A,,1.0
184,Beruf,Angestellter,A,,245.0
185,Beruf,Angler,A,,100.0
186,Beruf,Anglist,A,,3.0
187,Beruf,Anglistik,A,,68.0
188,Beruf,Anglistin,A,,2.0
189,Beruf,Anhalter,A,,50.0
190,Beruf,Anhalterin,A,,7.0
191,Beruf,Animateur,A,,5.0
192,Beruf,Animateurin,A,,1.0
193,Beruf,Animationskünstler,A,,4.0
194,Beruf,Animator,A,,13.0
195,Beruf,Ankermieter,A,,7.0
196,Beruf,Ankerwickler,A,,1.0
197,Beruf,Anklagevertreter,A,,6.0
198,Beruf,Ankleider,A,,1.0
199,Beruf,Ankleiderin,A,,1.0
200,Beruf,Ankläger,A,,48.0
201,Beruf,Anklägerin,A,,6.0
202,Beruf,Ankäufer,A,,7.0
203,Beruf,Anlageberater,A,,21.0
204,Beruf,Anlageexperte,A,,1.0
205,Beruf,Anlagenbauer,A,,27.0
206,Beruf,Anlagenbetreiber,A,,64.0
207,Beruf,Anlagenbuchhalter,A,,3.0
208,Beruf,Anlagenfahrer,A,,2.0
209,Beruf,Anlagenführer,A,,10.0
210,Beruf,Anlagenführerin,A,,1.0
211,Beruf,Anlageninstallateur,A,,1.0
212,Beruf,Anlagenmechaniker,A,,38.0
213,Beruf,Anlagenmechaniker/in,A,,3.0
214,Beruf,Anlagenmechanikerin,A,,5.0
215,Beruf,Anlagenmonteurin,A,,1.0
216,Beruf,Anlagenplaner,A,,2.0
217,Beruf,Anlernzeit,A,,2.0
218,Beruf,Anreißer,A,,1.0
219,Beruf,Ansager,A,,14.0
220,Beruf,Ansagerin,A,,3.0
221,Beruf,Anschauungsunterricht,A,,8.0
222,Beruf,Anschläger,A,,1.0
223,Beruf,Anstifter,A,,21.0
224,Beruf,Anstreicher,A,,6.0
225,Beruf,Anthropologe,A,,16.0
226,Beruf,Anthropologin,A,,14.0
227,Beruf,Antiquitätenhändler,A,,14.0
228,Beruf,Antiquitätenhändlerin,A,,1.0
229,Beruf,Anwalt,A,,1425.0
230,Beruf,Anwaltsbüro,A,,9.0
231,Beruf,Anwaltschaft,A,,92.0
232,Beruf,Anwaltsfirma,A,,2.0
233,Beruf,Anwaltsgebühr,A,,1.0
234,Beruf,Anwaltsgehilfe,A,,2.0
235,Beruf,Anwaltsgehilfin,A,,1.0
236,Beruf,Anwaltshonorar,A,,3.0
237,Beruf,Anwaltskammer,A,,25.0
238,Beruf,Anwaltskanzlei,A,,141.0
239,Beruf,Anwendungsberater,A,,2.0
240,Beruf,Anwendungsentwickler,A,,13.0
241,Beruf,Anwendungsprogrammierer,A,,1.0
242,Beruf,Anwesenheitskontrolle,A,,2.0
243,Beruf,Anwesenheitsliste,A,,20.0
244,Beruf,Anwesenheitspflicht,A,,37.0
245,Beruf,Anwältin,A,,219.0
246,Beruf,Anzeigenabteilung,A,,6.0
247,Beruf,Anzeigenaktion,A,,1.0
248,Beruf,Anzeigenberater,A,,1.0
249,Beruf,Anzeigengeschäft,A,,6.0
250,Beruf,Anzeigenkampagne,A,,2.0
251,Beruf,Anzeigenkunde,A,,2.0
252,Beruf,Anzeigenleiter,A,,2.0
253,Beruf,Anzeigenleiterin,A,,2.0
254,Beruf,Anzeigenmarkt,A,,6.0
255,Beruf,Anzeigenteil,A,,9.0
256,Beruf,Anzeigenverkäuferin,A,,1.0
257,Beruf,Anzeigenwerbung,A,,3.0
258,Beruf,Anzeigenzeitung,A,,1.0
259,Beruf,Anzeigepflicht,A,,40.0
260,Beruf,Anzeiger,A,,90.0
261,Beruf,Anzeigetafel,A,,63.0
262,Beruf,Anästhesiepfleger,A,,1.0
263,Beruf,Anästhesietechnischer Assistent,A,,1.0
264,Beruf,Anästhesiologe,A,,2.0
265,Beruf,Anästhesist,A,,40.0
266,Beruf,Anästhesistin,A,,8.0
267,Beruf,Aphasiker,A,,12.0
268,Beruf,Apologet,A,,1.0
269,Beruf,Apostelamt,A,,3.0
270,Beruf,Apotheke,A,,862.0
271,Beruf,Apothekenhelferin,A,,8.0
272,Beruf,Apothekenleiter,A,,9.0
273,Beruf,Apothekennotdienst,A,,2.0
274,Beruf,Apotheker,A,,545.0
275,Beruf,Apotheker/in,A,,3.0
276,Beruf,Apothekerfamilie,A,,3.0
277,Beruf,Apothekergehilfe,A,,2.0
278,Beruf,Apothekerin,A,,71.0
279,Beruf,Apothekerkammer,A,,32.0
280,Beruf,Apothekerverband,A,,19.0
281,Beruf,Apparatebau,A,,11.0
282,Beruf,Apparatebauer,A,,3.0
283,Beruf,Appretur,A,,3.0
284,Beruf,Aquarellist,A,,3.0
285,Beruf,Aquarellmaler,A,,2.0
286,Beruf,Aquarianer,A,,3.0
287,Beruf,Arabist,A,,1.0
288,Beruf,Arbeiter,A,,1283.0
289,Beruf,Arbeiterin,A,,27.0
290,Beruf,Arbeitsberater,A,,2.0
291,Beruf,Arbeitsberaterin,A,,1.0
292,Beruf,Arbeitsberatung,A,,3.0
293,Beruf,Arbeitsdirektor,A,,8.0
294,Beruf,Arbeitserzieher,A,,5.0
295,Beruf,Arbeitskabinett,A,,1.0
296,Beruf,Arbeitskampf,A,,68.0
297,Beruf,Arbeitskittel,A,,1.0
298,Beruf,Arbeitskleidung,A,,88.0
